key,manufacturer,ID,type,stages,ratio,mass,inertia,efficiency,direction,max_int_torque,max_cont_torque
FH_17_1_R1013:1,Faulhaber,17_1_R1013:1,planetary,5,1013.0,0.055999999999999994,0.0,0.5,1.0,0.8,0.55
FH_17_1_R1367:1,Faulhaber,17_1_R1367:1,planetary,5,1367.0,0.055999999999999994,0.0,0.5,1.0,0.8,0.55
FH_15A_R5.33:1,Faulhaber,15A_R5.33:1,planetary,1,5.33,0.004,0.0,0.87,1.0,0.1,0.05
FH_15A_R14:1,Faulhaber,15A_R14:1,planetary,2,14.0,0.005,0.0,0.78,1.0,0.2,0.1
FH_15A_R19:1,Faulhaber,15A_R19:1,planetary,2,19.0,0.005,0.0,0.78,1.0,0.2,0.1
FH_15A_R28:1,Faulhaber,15A_R28:1,planetary,2,28.0,0.005,0.0,0.78,1.0,0.2,0.1
FH_15A_R52:1,Faulhaber,15A_R52:1,planetary,3,52.0,0.005,0.0,0.68,1.0,0.2,0.1
FH_15A_R69:1,Faulhaber,15A_R69:1,planetary,3,69.0,0.005,0.0,0.68,1.0,0.2,0.1
FH_15A_R102:1,Faulhaber,15A_R102:1,planetary,3,102.0,0.005,0.0,0.68,1.0,0.2,0.1
FH_15A_R152:1,Faulhaber,15A_R152:1,planetary,3,152.0,0.005,0.0,0.67,1.0,0.3,0.15
FH_15A_R249:1,Faulhaber,15A_R249:1,planetary,4,249.0,0.006,0.0,0.62,1.0,0.4,0.2
FH_15A_R369:1,Faulhaber,15A_R369:1,planetary,4,369.0,0.006,0.0,0.62,1.0,0.4,0.2
FH_15A_R546:1,Faulhaber,15A_R546:1,planetary,4,546.0,0.006,0.0,0.62,1.0,0.4,0.2
FH_15A_R809:1,Faulhaber,15A_R809:1,planetary,4,809.0,0.006,0.0,0.62,1.0,0.4,0.2
FH_15A_R896:1,Faulhaber,15A_R896:1,planetary,5,896.0,0.006,0.0,0.55,1.0,0.4,0.2
FH_15A_R1327:1,Faulhaber,15A_R1327:1,planetary,5,1327.0,0.006,0.0,0.55,1.0,0.4,0.2
FH_15A_R1966:1,Faulhaber,15A_R1966:1,planetary,5,1966.0,0.006,0.0,0.55,1.0,0.4,0.2
FH_15A_R2913:1,Faulhaber,15A_R2913:1,planetary,5,2913.0,0.006,0.0,0.52,1.0,0.4,0.25
FH_15A_R4315:1,Faulhaber,15A_R4315:1,planetary,5,4315.0,0.006,0.0,0.52,1.0,0.4,0.25
FH_15A_R3225:1,Faulhaber,15A_R3225:1,planetary,6,3225.0,0.006999999999999999,0.0,0.49,1.0,0.4,0.25
FH_15A_R4778:1,Faulhaber,15A_R4778:1,planetary,6,4778.0,0.006999999999999999,0.0,0.49,1.0,0.4,0.25
FH_15A_R7078:1,Faulhaber,15A_R7078:1,planetary,6,7078.0,0.006999999999999999,0.0,0.49,1.0,0.4,0.25
FH_15A_R10486:1,Faulhaber,15A_R10486:1,planetary,6,10486.0,0.006999999999999999,0.0,0.49,1.0,0.4,0.25
FH_15A_R15534:1,Faulhaber,15A_R15534:1,planetary,6,15534.0,0.006999999999999999,0.0,0.49,1.0,0.4,0.25
FH_15A_R23014:1,Faulhaber,15A_R23014:1,planetary,6,23014.0,0.006999999999999999,0.0,0.49,1.0,0.4,0.25
