key,manufacturer,ID,type,V,k_t,R,L,mass,inertia,omega_nl,I_nl,max_int_torque,max_int_speed,max_cont_speed,max_cont_power,coulomb_friction,viscous_friction,Rth1,Rth2
AM_MF0060032_48V,Allied_Motion,MF0060032_48V,BLDC,48,0.17,1.06,0.0004,0.42,0.000064,269,,7.5,inf,inf,inf,,,2.75,
AM_MF0060032_150V,Allied_Motion,MF0060032_150V,BLDC,150,0.33,4.11,0.00158,0.42,0.000064,420,,10.5,inf,inf,inf,,,2.75,
AM_MF0060032_300V,Allied_Motion,MF0060032_300V,BLDC,300,0.5,9.42,0.00356,0.41,0.000064,560,,10.5,inf,inf,inf,,,2.75,
AM_MF0060044_48V,Allied_Motion,MF0060044_48V,BLDC,48,0.18,0.85,0.00035,0.56,0.000085,250,,10.3,inf,inf,inf,,,2.5,
AM_MF0060044_150V,Allied_Motion,MF0060044_150V,BLDC,150,0.37,3.34,0.00142,0.56,0.00011,390,,14.3,inf,inf,inf,,,2.35,
AM_MF0060044_300V,Allied_Motion,MF0060044_300V,BLDC,300,0.55,7.7,0.00319,0.56,0.000085,520,,14.3,inf,inf,inf,,,2.5,
AM_MF0060056_48V,Allied_Motion,MF0060056_48V,BLDC,48,0.21,1.02,0.00045,0.7,0.00011,217,,9.9,inf,inf,inf,,,2.35,
AM_MF0060056_150V,Allied_Motion,MF0060056_150V,BLDC,150,0.42,4.01,0.00179,0.7,0.00011,340,,16,inf,inf,inf,,,2.35,
AM_MF0060056_300V,Allied_Motion,MF0060056_300V,BLDC,300,0.63,9.33,0.00403,0.7,0.00011,453,,17,inf,inf,inf,,,2.35,
AM_MF0210010_48V,Allied_Motion,MF0210010_48V,BLDC,48,0.472,0.246,0.000802,1.93,0.0017,96,,54.5,inf,inf,inf,,,0.93,
AM_MF0210010_150V,Allied_Motion,MF0210010_150V,BLDC,150,1.07,1.257,0.004119,1.83,0.0046,133,,54.5,inf,inf,inf,,,0.68,
AM_MF0210010_300V,Allied_Motion,MF0210010_300V,BLDC,300,1.448,2.274,0.007539,1.84,0.0091,198,,54.5,inf,inf,inf,,,0.5,
AM_MF0210025_48V,Allied_Motion,MF0210025_48V,BLDC,48,0.578,0.085,0.000411,4.57,0.0046,80,,143,inf,inf,inf,,,0.68,
AM_MF0210025_150V,Allied_Motion,MF0210025_150V,BLDC,150,1.402,0.488,0.002423,4.33,0.0046,102,,143,inf,inf,inf,,,0.68,
AM_MF0210025_300V,Allied_Motion,MF0210025_300V,BLDC,300,1.814,0.827,0.004058,4.47,0.0046,158,,143,inf,inf,inf,,,0.68,
AM_MF0210050_48V,Allied_Motion,MF0210050_48V,BLDC,48,0.649,0.042,0.000254,8.3,0.0091,71,,290,inf,inf,inf,,,0.5,
AM_MF0210050_150V,Allied_Motion,MF0210050_150V,BLDC,150,1.786,0.31,0.001922,8.28,0.0091,81,,290,inf,inf,inf,,,0.5,
AM_MF0210050_300V,Allied_Motion,MF0210050_300V,BLDC,300,2.111,0.46,0.002684,8.2,0.0091,136,,290,inf,inf,inf,,,0.5,
AM_MF0210075_48V,Allied_Motion,MF0210075_48V,BLDC,48,0.972,0.056,0.000368,12.25,0.014,47,,433,inf,inf,inf,,,0.325,
AM_MF0210075_150V,Allied_Motion,MF0210075_150V,BLDC,150,1.459,0.131,0.000845,12.16,0.018,99,,433,inf,inf,inf,,,0.28,
AM_MF0210075_300V,Allied_Motion,MF0210075_300V,BLDC,300,2.188,0.275,0.0019,12.26,0.014,132,,433,inf,inf,inf,,,0.325,
AM_MF0210100_48V,Allied_Motion,MF0210100_48V,BLDC,48,1.299,0.071,0.000495,16.16,0.018,35,,578,inf,inf,inf,,,0.28,
AM_MF0210100_150V,Allied_Motion,MF0210100_150V,BLDC,150,1.947,0.166,0.001115,16.07,0.018,74,,578,inf,inf,inf,,,0.28,
AM_MF0210100_300V,Allied_Motion,MF0210100_300V,BLDC,300,2.596,0.307,0.001981,15.97,0.018,111,,578,inf,inf,inf,,,0.28,
AM_MF0095008_48V,Allied_Motion,MF0095008_48V,BLDC,48,0.11,0.48,0.00027,0.33,0.00012,425,,7.3,inf,inf,inf,,,1.9,
AM_MF0095008_150V,Allied_Motion,MF0095008_150V,BLDC,150,0.31,4.314,0.00232,0.32,0.00025,453,,7.3,inf,inf,inf,,,1.55,
AM_MF0095008_300V,Allied_Motion,MF0095008_300V,BLDC,300,0.5,9.34,0.00588,0.32,0.00037,569,,7.3,inf,inf,inf,,,1.45,
AM_MF0095020_48V,Allied_Motion,MF0095020_48V,BLDC,48,0.14,0.25,0.00021,0.68,0.00025,331,,18,inf,inf,inf,,,1.55,
AM_MF0095020_150V,Allied_Motion,MF0095020_150V,BLDC,150,0.34,1.46,0.00125,0.68,0.00025,423,,18,inf,inf,inf,,,1.55,
AM_MF0095020_300V,Allied_Motion,MF0095020_300V,BLDC,300,0.54,3.41,0.00317,0.67,0.00025,532,,18,inf,inf,inf,,,1.55,
AM_MF0095032_48V,Allied_Motion,MF0095032_48V,BLDC,48,0.2,0.28,0.00025,1.03,0.00037,222,,31,inf,inf,inf,,,1.45,
AM_MF0095032_150V,Allied_Motion,MF0095032_150V,BLDC,150,0.41,1.08,0.00102,1.02,0.00037,346,,31,inf,inf,inf,,,1.45,
AM_MF0095032_300V,Allied_Motion,MF0095032_300V,BLDC,300,0.61,2.17,0.00229,1.02,0.00037,462,,31,inf,inf,inf,,,1.45,
AM_MF0095044_48V,Allied_Motion,MF0095044_48V,BLDC,48,0.27,0.34,0.00034,1.37,0.00049,167,,38,inf,inf,inf,,,1.35,
AM_MF0095044_150V,Allied_Motion,MF0095044_150V,BLDC,150,0.54,1.32,0.00135,1.36,0.00062,261,,42,inf,inf,inf,,,1.23,
AM_MF0095044_300V,Allied_Motion,MF0095044_300V,BLDC,300,0.81,2.67,0.00304,1.36,0.00049,348,,42,inf,inf,inf,,,1.35,
AM_MF0095056_48V,Allied_Motion,MF0095056_48V,BLDC,48,0.34,0.32,0.00043,1.76,0.00062,136,,51,inf,inf,inf,,,1.23,
AM_MF0095056_150V,Allied_Motion,MF0095056_150V,BLDC,150,0.68,1.56,0.00171,1.71,0.00062,213,,53,inf,inf,inf,,,1.23,
AM_MF0095056_300V,Allied_Motion,MF0095056_300V,BLDC,300,1.02,2.86,0.00384,1.73,0.00062,284,,53,inf,inf,inf,,,1.23,
AM_MF0127008_48V,Allied_Motion,MF0127008_48V,BLDC,48,0.118,0.23,0.00024,0.55,0.00033,390,,7.9,inf,inf,inf,,,1.25,
AM_MF0127008_150V,Allied_Motion,MF0127008_150V,BLDC,150,0.296,1.75,0.00148,0.5,0.00066,488,,7.9,inf,inf,inf,,,1.1,
AM_MF0127008_300V,Allied_Motion,MF0127008_300V,BLDC,300,0.532,4.14,0.0048,0.54,0.00099,542,,7.9,inf,inf,inf,,,0.99,
AM_MF0127020_48V,Allied_Motion,MF0127020_48V,BLDC,48,0.16,0.11,0.00015,1.15,0.00066,294,,25.8,inf,inf,inf,,,1.1,
AM_MF0127020_150V,Allied_Motion,MF0127020_150V,BLDC,150,0.38,0.55,0.00087,1.16,0.00066,378,,25.8,inf,inf,inf,,,1.1,
AM_MF0127020_300V,Allied_Motion,MF0127020_300V,BLDC,300,0.61,1.26,0.00219,1.14,0.00066,476,,25.8,inf,inf,inf,,,1.1,
AM_MF0127032_48V,Allied_Motion,MF0127032_48V,BLDC,48,0.31,0.23,0.00037,1.72,0.00099,148,,40.8,inf,inf,inf,,,0.99,
AM_MF0127032_150V,Allied_Motion,MF0127032_150V,BLDC,150,0.63,0.89,0.00149,1.71,0.00099,231,,40.8,inf,inf,inf,,,0.99,
AM_MF0127032_300V,Allied_Motion,MF0127032_300V,BLDC,300,0.94,1.96,0.00335,1.69,0.00099,308,,40.8,inf,inf,inf,,,0.99,
AM_MF0127044_48V,Allied_Motion,MF0127044_48V,BLDC,48,0.37,0.22,0.00039,2.28,0.0013,125,,54,inf,inf,inf,,,0.9,
AM_MF0127044_150V,Allied_Motion,MF0127044_150V,BLDC,150,0.75,0.84,0.00156,2.27,0.0017,195,,54,inf,inf,inf,,,0.82,
AM_MF0127044_300V,Allied_Motion,MF0127044_300V,BLDC,300,1.12,1.88,0.00351,2.24,0.0013,260,,54,inf,inf,inf,,,0.9,
AM_MF0127056_48V,Allied_Motion,MF0127056_48V,BLDC,48,0.47,0.25,0.00049,2.86,0.0017,98,,67,inf,inf,inf,,,0.82,
AM_MF0127056_150V,Allied_Motion,MF0127056_150V,BLDC,150,0.94,0.98,0.00197,2.85,0.0017,154,,67,inf,inf,inf,,,0.82,
