key,manufacturer,ID,type,stages,ratio,mass,inertia,efficiency,direction,max_int_torque,max_cont_torque
MM_462695,Maxon,462695,planetary,1,3.75,0.044,5e-08,0.9,1,0.8,0.5
MM_462696,Maxon,462696,planetary,1,5.4,0.044,2.5e-08,0.9,1,0.8,0.5
MM_678432,Maxon,678432,spur,2,5.1,0.11,3.72e-07,0.87,1,0.75,0.5
MM_678433,Maxon,678433,spur,2,7.46428571428571,0.11,3.11e-07,0.87,1,0.75,0.5
MM_678434,Maxon,678434,spur,2,9.2914979757085,0.11,2.05e-07,0.87,1,0.75,0.5
MM_678435,Maxon,678435,spur,2,13.5989010989011,0.11,2.18e-07,0.87,1,0.75,0.5
MM_678436,Maxon,678436,spur,3,32.1628776082217,0.11,1.35e-07,0.76,1,2.5,2
MM_678437,Maxon,678437,spur,3,47.0731191885038,0.11,8.8e-08,0.76,1,2.5,2
MM_678438,Maxon,678438,spur,3,25.8379120879121,0.11,1.44e-07,0.76,1,2.5,2
MM_678440,Maxon,678440,spur,3,17.6538461538462,0.11,1.57e-07,0.76,1,2.5,2
MM_678527,Maxon,678527,spur,4,61.1094674556213,0.12,9.9e-08,0.66,1,2.5,2
MM_678528,Maxon,678528,spur,4,89.4389264581572,0.12,9.6e-08,0.66,1,2.5,2
MM_678529,Maxon,678529,spur,4,111.333037874614,0.12,6e-08,0.66,1,2.5,2
MM_678530,Maxon,678530,spur,4,162.94541257559,0.12,5.3e-08,0.66,1,2.5,2
MM_678531,Maxon,678531,spur,5,211.532771961766,0.14,8.3e-08,0.59,1,2.5,2
MM_678532,Maxon,678532,spur,5,309.596283893621,0.14,8.2e-08,0.59,1,2.5,2
MM_678533,Maxon,678533,spur,5,385.383592642894,0.14,4.6e-08,0.59,1,2.5,2
MM_678536,Maxon,678536,spur,5,564.041812761658,0.14,8.2e-08,0.59,1,2.5,2
MM_678539,Maxon,678539,spur,6,732.228826021498,0.14,7.8e-08,0.53,1,2.5,2
MM_678540,Maxon,678540,spur,6,1071.67944424715,0.14,7.77e-08,0.53,1,2.5,2
MM_678541,Maxon,678541,spur,6,1334.02012837925,0.14,4.24e-08,0.53,1,2.5,2
MM_678542,Maxon,678542,spur,6,1952.45242879035,0.14,4.15e-08,0.53,1,2.5,2
MM_701923,Maxon,701923,planetary,1,5.18181818181818,0.95,1.09e-05,0.8,1,12,8
MM_701924,Maxon,701924,planetary,2,19.2032085561497,1.2,1e-05,0.75,1,37,25
MM_701925,Maxon,701925,planetary,2,26.8512396694215,1.2,1.05e-05,0.75,1,37,25
MM_701926,Maxon,701926,planetary,2,34.9772727272727,1.2,8.9e-06,0.75,1,37,25
MM_701927,Maxon,701927,planetary,3,71.1616860648003,1.5,1.04e-05,0.7,1,75,50
MM_701928,Maxon,701928,planetary,3,99.5075352455032,1.5,1.05e-05,0.7,1,75,50
MM_701929,Maxon,701929,planetary,3,139.138241923366,1.5,1.02e-05,0.7,1,75,50
MM_701930,Maxon,701930,planetary,3,181.245867768595,1.5,8.8e-06,0.7,1,75,50
MM_701931,Maxon,701931,planetary,3,236.096590909091,1.5,8.9e-06,0.7,1,75,50
MM_701932,Maxon,701932,planetary,1,3.94117647058824,2.3,1.65e-05,0.8,1,30,20
MM_701933,Maxon,701933,planetary,2,13.7335640138408,3,1.55e-05,0.75,1,90,60
MM_701934,Maxon,701934,planetary,2,25.0147058823529,3,1.25e-05,0.75,1,90,60
MM_701935,Maxon,701935,planetary,3,50.8949725218807,3.7,8.8e-06,0.7,1,180,120
MM_701936,Maxon,701936,planetary,3,92.7015570934256,3.7,1.54e-05,0.7,1,180,120
MM_701937,Maxon,701937,planetary,3,307.546875,3.7,8.9e-06,0.7,1,180,120
MM_GPX06AAKLSL0221CPLW,Maxon,GPX06AAKLSL0221CPLW,planetary,4,221.341524364848,0.003,1e-10,0.6,1,0.06,0.03
MM_GPX06AAKLSL03D9CPLW,Maxon,GPX06AAKLSL03D9CPLW,planetary,1,3.85714285714286,0.002,8e-11,0.88,1,0.005,0.002
MM_GPX06AAKLSL0854CPLW,Maxon,GPX06AAKLSL0854CPLW,planetary,5,853.745879692985,0.003,1e-10,0.52,1,0.06,0.03
MM_GPX06AAKLSL15D0CPLW,Maxon,GPX06AAKLSL15D0CPLW,planetary,2,14.8775510204082,0.002,1e-10,0.77,1,0.01,0.005
MM_GPX06AAKLSL57D0CPLW,Maxon,GPX06AAKLSL57D0CPLW,planetary,3,57.3848396501458,0.002,1e-10,0.68,1,0.02,0.01
